epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.85988,1.29792,4.79997,1.35695,0,0,0,0,1.41186,4.5898,1.21029,1.429e-05,1.429e-05,1.429e-05
2,15.1407,1.17204,4.63182,1.17631,0,0,0,0,1.24653,4.54056,1.13296,4.07479e-05,4.07479e-05,4.07479e-05
3,22.4797,0.88464,4.33236,1.05465,0.00035,0.16667,0.00073,0.00048,1.07905,4.46627,1.00783,6.43764e-05,6.43764e-05,6.43764e-05
4,29.8751,1.07039,4.13463,1.03082,0.003,0.77778,0.00384,0.00215,1.05692,4.2593,0.91588,8.51755e-05,8.51755e-05,8.51755e-05
5,37.1933,0.76226,3.7932,0.91417,0.00397,1,0.00649,0.00413,1.0664,4.06555,0.84347,0.000103145,0.000103145,0.000103145
6,44.4048,0.74258,3.4435,0.86234,0.00382,1,0.0064,0.00448,1.05817,4.02252,0.84449,0.000118285,0.000118285,0.000118285
7,51.6331,0.79675,2.96218,0.88563,0.00364,1,0.00629,0.00439,1.06232,4.00399,0.83431,0.000130596,0.000130596,0.000130596
8,58.8436,0.75219,2.25044,0.86585,0.00353,1,0.00606,0.00415,0.99208,3.9726,0.82445,0.000140078,0.000140078,0.000140078
9,66.012,0.77426,1.89541,0.86598,0.0035,1,0.006,0.00408,1.08108,3.90697,0.83278,0.00014673,0.00014673,0.00014673
10,73.2824,0.81611,1.64256,0.84452,0.00347,1,0.00587,0.00417,1.05473,3.85946,0.82508,0.000150552,0.000150552,0.000150552
11,80.2571,0.70869,1.7466,0.84856,0.00346,1,0.00568,0.00409,0.97456,3.8248,0.81232,0.000151545,0.000151545,0.000151545
